Sexo,Casado,Edad,Fumador,Trabajo,Hijos,Localidad,Telefono Casa,Telefono Celular,Correo Electronico,IMSS,Tipo de Sangre,Egreso Preparatoria,Preparotoria,Promedio Preparatoria,Certificado de Conducta,Situación,Periodo,Creditos,Materias Aprobadas,Materias Cursadas
2,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2006.0,1.0,9.59,BUENO,5.0,10.0,400.0,69.0,69.0
1,No,19.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2006.0,4.0,8.42,BUENO,5.0,10.0,400.0,69.0,69.0
2,No,22.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2004.0,2.0,7.54,BUENO,4.0,9.0,190.0,40.0,48.0
1,No,18.0,No,Si,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2006.0,5.0,9.09,BUENO,5.0,10.0,400.0,69.0,69.0
1,No,19.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2002.0,4.0,7.52,REGULAR,4.0,2.0,40.0,9.0,17.0
1,No,18.91,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2005.0,3.0,9.81,MALO,5.0,10.0,400.0,69.0,69.0
2,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,2.0,9.21,BUENO,5.0,10.0,400.0,69.0,69.0
1,No,18.0,No,No,0.0,MAZATLÁN,No,Si,Si,No,O+,2005.0,5.0,7.12,MALO,4.0,1.0,31.0,8.0,9.0
H,Si,18.0,No,Si,2.0,LOS MOCHIS,Si,Si,Si,Si,O+,2005.0,6.0,7.41,REGULAR,4.0,7.0,134.0,29.0,33.0
1,Si,19.0,No,Si,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2004.0,1.0,8.37,MALO,5.0,10.0,400.0,69.0,69.0
1,No,18.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2006.0,3.0,8.31,MALO,5.0,10.0,400.0,69.0,69.0
1,No,18.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,3.0,8.93,BUENO,5.0,10.0,400.0,69.0,69.0
1,No,18.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,1998.0,1.0,7.7,REGULAR,4.0,1.0,2.0,1.0,9.0
1,Si,19.0,Si,Si,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2005.0,1.0,7.75,REGULAR,4.0,2.0,30.0,7.0,17.0
M,No,18.0,Si,Si,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,3.0,8.63,MALO,5.0,10.0,400.0,69.0,69.0
1,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2006.0,1.0,8.39,BUENO,5.0,10.0,400.0,69.0,69.0
H,No,19.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,2.0,7.28,REGULAR,4.0,0.0,0.0,0.0,0.0
2,No,18.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2005.0,1.0,7.4,BUENO,1.0,16.0,355.0,67.0,68.0
2,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,1.0,8.7,BUENO,5.0,10.0,400.0,69.0,69.0
2,No,19.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,3.0,8.33,REGULAR,5.0,10.0,400.0,69.0,69.0
M,No,18.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,3.0,9.84,REGULAR,5.0,10.0,400.0,69.0,69.0
1,No,19.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,3.0,9.56,REGULAR,5.0,10.0,400.0,69.0,69.0
1,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2006.0,3.0,8.64,BUENO,5.0,10.0,400.0,69.0,69.0
1,No,18.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,O-,2005.0,1.0,9.27,MALO,5.0,10.0,400.0,69.0,69.0
2,No,19.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,1.0,9.86,BUENO,5.0,10.0,400.0,69.0,69.0
2,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2006.0,1.0,9.68,MALO,5.0,10.0,400.0,69.0,69.0
1,No,18.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2004.0,1.0,8.17,BUENO,5.0,10.0,400.0,69.0,69.0
1,No,18.91,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,3.0,9.51,MALO,5.0,10.0,400.0,69.0,69.0
2,No,18.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,B+,2005.0,3.0,8.14,BUENO,5.0,10.0,400.0,69.0,69.0
1,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2005.0,4.0,9.11,MALO,5.0,10.0,400.0,69.0,69.0
2,No,19.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,5.0,9.86,BUENO,5.0,10.0,400.0,69.0,69.0
2,No,18.0,Si,No,0.0,MAZATLÁN,No,Si,Si,No,A+,2005.0,3.0,7.24,MALO,4.0,0.0,0.0,0.0,0.0
M,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,6.0,9.74,BUENO,5.0,10.0,400.0,69.0,69.0
1,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2006.0,3.0,8.88,BUENO,5.0,13.0,400.0,69.0,69.0
1,Si,18.0,Si,No,1.0,MAZATLÁN,Si,Si,Si,Si,A+,2005.0,2.0,9.48,REGULAR,5.0,10.0,400.0,69.0,69.0
2,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,1999.0,4.0,9.02,BUENO,5.0,10.0,400.0,69.0,69.0
2,No,19.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,5.0,7.96,REGULAR,5.0,10.0,400.0,69.0,69.0
1,No,18.0,No,Si,0.0,MAZATLÁN,Si,Si,Si,Si,O-,2004.0,3.0,7.3,BUENO,2.0,10.0,243.0,48.0,53.0
2,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,6.0,8.91,BUENO,5.0,10.0,400.0,69.0,69.0
1,No,18.0,Si,No,0.0,LOS MOCHIS,Si,Si,No,Si,O+,2003.0,4.0,7.9,BUENO,2.0,12.0,350.0,66.0,67.0
2,No,19.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2005.0,3.0,9.14,REGULAR,5.0,10.0,400.0,69.0,69.0
2,No,18.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2003.0,2.0,9.54,REGULAR,5.0,11.0,400.0,69.0,69.0
2,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O-,2005.0,1.0,9.49,BUENO,5.0,10.0,400.0,69.0,69.0
2,No,19.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2006.0,3.0,9.47,BUENO,5.0,10.0,400.0,69.0,69.0
1,No,18.0,Si,Si,0.0,MAZATLÁN,Si,Si,No,Si,O+,2006.0,3.0,9.1,BUENO,5.0,10.0,400.0,69.0,69.0
2,No,18.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2003.0,1.0,8.38,MALO,5.0,10.0,400.0,69.0,69.0
1,Si,23.0,Si,Si,2.0,MAZATLÁN,Si,Si,Si,Si,O+,2006.0,4.0,7.84,REGULAR,4.0,5.0,63.0,14.0,17.0
1,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2006.0,1.0,8.86,BUENO,5.0,10.0,400.0,69.0,69.0
1,No,18.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,B+,2006.0,1.0,8.89,MALO,5.0,10.0,400.0,69.0,69.0
1,No,18.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2003.0,5.0,7.2,REGULAR,4.0,11.0,35.0,8.0,17.0
M,No,19.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2006.0,3.0,8.4,BUENO,5.0,10.0,400.0,69.0,69.0
2,No,18.0,No,Si,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2006.0,4.0,8.31,MALO,5.0,10.0,400.0,69.0,69.0
H,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2002.0,6.0,7.0,BUENO,4.0,1.0,40.0,9.0,9.0
1,No,19.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2006.0,5.0,9.83,BUENO,5.0,10.0,400.0,69.0,69.0
2,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2006.0,6.0,8.57,BUENO,5.0,10.0,400.0,69.0,69.0
2,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2002.0,3.0,9.79,BUENO,5.0,10.0,400.0,69.0,69.0
1,No,18.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2006.0,3.0,8.19,MALO,5.0,10.0,400.0,69.0,69.0
2,No,19.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2006.0,1.0,8.69,BUENO,5.0,10.0,400.0,69.0,69.0
2,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2006.0,1.0,9.86,BUENO,5.0,10.0,400.0,69.0,69.0
2,No,18.0,No,No,0.0,GUASAVE,Si,Si,Si,Si,O+,2006.0,1.0,9.67,BUENO,5.0,10.0,400.0,69.0,69.0
2,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2006.0,6.0,9.05,MALO,5.0,10.0,400.0,69.0,69.0
2,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,O+,2006.0,2.0,7.16,BUENO,5.0,10.0,400.0,69.0,69.0
1,No,20.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2006.0,2.0,8.36,BUENO,5.0,10.0,400.0,69.0,69.0
M,No,18.0,No,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2006.0,4.0,9.17,REGULAR,5.0,10.0,400.0,69.0,69.0
1,No,18.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2004.0,5.0,8.88,REGULAR,5.0,10.0,400.0,69.0,69.0
2,No,19.0,Si,No,0.0,MAZATLÁN,No,Si,Si,No,A+,2006.0,5.0,7.37,MALO,2.0,4.0,160.0,33.0,33.0
1,No,18.0,Si,No,0.0,MAZATLÁN,Si,Si,Si,Si,A+,2006.0,6.0,9.07,MALO,5.0,10.0,400.0,69.0,69.0
