Sexo,Casado,Edad,Fumador,Trabajo,Hijos,Localidad,Telefono Casa,Telefono Celular,Correo Electronico,IMSS,Tipo de Sangre,Egreso Preparatoria,Preparotoria,Promedio Preparatoria,Certificado de Conducta,Situación,Periodo,Creditos,Materias Aprobadas,Materias Cursadas
1,No,21,Si,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2004,5,7.81,REGULAR,4,1,0,0,8
2,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2006,4,8.89,BUENO,5,10,400,78,78
1,No,19,Si,No,0,CONCORDIA,Si,Si,Si,Si,B+,2005,4,7.67,MALO,4,4,120,27,34
1,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,A-,2005,5,9.93,MALO,5,11,400,78,78
1,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,No,B+,2003,3,7.31,BUENO,4,5,40,9,18
1,Si,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,A-,2004,1,7.96,BUENO,4,1,17,4,8
1,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,6,9.09,BUENO,5,10,400,78,78
2,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2004,3,9.45,MALO,5,12,400,78,78
1,No,23,No,Si,0,MAZATLÁN,Si,No,No,Si,A+,1997,2,7.73,MALO,4,7,10,3,18
1,No,18,No,No,0,MAZATLÁN,Si,No,Si,Si,A+,2005,3,7.04,BUENO,4,7,195,42,44
1,No,19,Si,Si,0,MAZATLÁN,Si,Si,Si,No,O+,2004,4,7.92,BUENO,4,3,62,14,27
1,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,4,9.71,BUENO,5,12,400,78,78
1,Si,18,No,No,2,MAZATLÁN,Si,Si,Si,Si,O+,2002,5,7.06,BUENO,4,5,171,37,43
1,No,18,No,No,0,MAZATLÁN,Si,No,Si,Si,O+,2003,5,7.34,REGULAR,4,5,104,24,34
1,No,18,No,No,0,MAZATLÁN,Si,Si,Si,No,A+,2005,6,7.85,REGULAR,4,0,0,0,0
1,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2004,2,9.87,MALO,5,10,400,78,78
2,No,18,No,No,0,MAZATLÁN,Si,Si,No,Si,O+,2003,3,8.67,MALO,4,0,0,0,0
1,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,A+,2000,4,7.01,BUENO,4,8,185,40,51
1,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,B+,2005,3,9.88,REGULAR,5,10,400,78,78
1,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,6,9.28,REGULAR,5,15,400,78,78
2,No,18,No,Si,0,MAZATLÁN,Si,Si,Si,Si,A+,2005,3,9.68,MALO,5,10,400,78,78
1,No,18,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2004,5,8.12,REGULAR,5,13,400,78,78
1,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,3,8.89,REGULAR,5,10,400,78,78
2,No,19,No,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2005,2,7.89,REGULAR,5,11,400,78,78
2,No,19,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O+,2004,5,7.68,BUENO,4,0,0,0,0
1,Si,18,No,Si,0,MAZATLÁN,Si,No,Si,No,A-,2004,6,7.63,MALO,4,9,185,40,52
1,No,18,Si,No,0,MAZATLÁN,Si,Si,Si,Si,O-,2005,3,8.77,MALO,5,10,400,78,78
